id,manufacturer_id,product_code,decoder_type,protocol,decoder_interface
trn:decoder:esu:58410,esu,58410,Sound,Dcc,NEM_652
trn:decoder:esu:58416,esu,58416,Sound,Dcc,NEM_651
trn:decoder:esu:58419,esu,58419,Sound,Dcc,MTC_21
trn:decoder:esu:58928,esu,58928,Sound,Dcc,NEXT_18
trn:decoder:esu:59020,esu,59020,Plain,Dcc,NEM_652
trn:decoder:esu:59029,esu,59029,Plain,Dcc,MTC_21
trn:decoder:esu:59110,esu,59110,Function,Dcc,NEM_652
trn:decoder:esu:59210,esu,59210,Function,Dcc/Mm/Sx,NEM_652
trn:decoder:esu:59212,esu,59212,Function,Dcc/Mm/Sx,PLUX_22
trn:decoder:esu:59219,esu,59219,Function,Dcc/Mm/Sx,MTC_21
trn:decoder:esu:59220,esu,59220,Function,Dcc,NEM_652
trn:decoder:esu:59610,esu,59610,Plain,Dcc,NEM_652
trn:decoder:esu:59612,esu,59612,Plain,Dcc,PLUX_22
trn:decoder:lenz:10231-01,lenz,10231-01,Function,Dcc,NEM_652
trn:decoder:lenz:10231-02,lenz,10231-02,Plain,Dcc,NEM_652
trn:decoder:lenz:10310-02,lenz,10310-02,Plain,Dcc,NEM_651
trn:decoder:lenz:10312-01,lenz,10312-01,Plain,Dcc,PLUX_12
trn:decoder:lenz:10318-01,lenz,10318-01,Plain,Dcc,NEXT_18
trn:decoder:lenz:10321-01,lenz,10321-01,Plain,Dcc,MTC_21
trn:decoder:lenz:10440,lenz,10440,Function,Dcc,WIRES
trn:decoder:marklin:60972,marklin,60972,Plain,Mfx,MTC_21
trn:decoder:marklin:60975,marklin,60975,Sound,Mfx,MTC_21
trn:decoder:marklin:60982,marklin,60982,Plain,Mfx,NEM_652
trn:decoder:marklin:60985,marklin,60985,Sound,Mfx,NEM_652
trn:decoder:marklin:60976,marklin,60976,Sound,Mfx,MTC_21
trn:decoder:marklin:60977,marklin,60977,Sound,Mfx,MTC_21
trn:decoder:marklin:60978,marklin,60978,Sound,Mfx,MTC_21
trn:decoder:marklin:60979,marklin,60979,Sound,Mfx,MTC_21
trn:decoder:marklin:60983,marklin,60983,Plain,Mfx,WIRES
trn:decoder:marklin:60986,marklin,60986,Sound,Mfx,NEM_652
trn:decoder:marklin:60987,marklin,60987,Sound,Mfx,NEM_652
trn:decoder:marklin:60996,marklin,60996,Sound,Mfx,PLUX_22
trn:decoder:marklin:60906,marklin,60906,Plain,Mfx,WIRES
trn:decoder:piko:56400,piko,56400,Sound,Dcc,PLUX_22
trn:decoder:piko:56405,piko,56405,Sound,Dcc,PLUX_22
trn:decoder:piko:56411,piko,56411,Sound,Dcc,NEXT_18
trn:decoder:piko:56503,piko,56503,Plain,Dcc,PLUX_22
trn:decoder:roco:10882,roco,10882,Plain,Dcc,NEM_652
trn:decoder:roco:10884,roco,10884,Plain,Dcc,PLUX_16
trn:decoder:roco:10895,roco,10895,Plain,Dcc,PLUX_22
trn:decoder:roco:10896,roco,10896,Plain,Dcc,NEXT_18
