id,name,registered_company_name,status,country_code,website_url
trn:manufacturer:acme,A.C.M.E.,Anonima Costruzioni Modellistiche Esatte S.r.l.,ACTIVE,IT,https://www.acmetreni.com
trn:manufacturer:accurascale,Accurascale,Accurascale Ltd,ACTIVE,IE,https://www.accurascale.com
trn:manufacturer:aimx-models,AiMX Models,AIMX Company Limited,ACTIVE,IT,https://aimx-hk.com
trn:manufacturer:albert-model,Albert Model,Albert Modell Kft.,ACTIVE,HU,https://albertmodell.com
trn:manufacturer:amintiri-feroviare,Amintiri Feroviare,Amintiri Feroviare S.R.L.,ACTIVE,RO,https://www.amintiriferoviare.com
trn:manufacturer:arnold,Arnold,Hornby Hobbies Ltd,ACTIVE,GB,https://uk.arnoldmodel.com
trn:manufacturer:athearn,Athearn,Athearn Trains,ACTIVE,US,https://www.athearn.com
trn:manufacturer:atlas-model-railroad-co,Atlas Model Railroad Co.,Atlas Model Railroad Co. Inc.,ACTIVE,US,https://shop.atlasrr.com
trn:manufacturer:atm-antonini,ATM Antonini,Antonini Modellismo S.r.l.,ACTIVE,IT,https://www.atmonline.it
trn:manufacturer:b-models,B-Models,Van Biervliet NV,ACTIVE,BE,https://www.vanbiervliet.com
trn:manufacturer:bachmann-europe,Bachmann Europe,Bachmann Europe Plc,ACTIVE,GB,https://www.bachmann.co.uk
trn:manufacturer:bachmann-industries,Bachmann Industries,Bachmann Industries Inc.,ACTIVE,US,https://www.bachmanntrains.com
trn:manufacturer:bemo,Bemo,Bemo Modelleisenbahnen GmbH u. Co. KG,ACTIVE,DE,https://www.bemo-modellbahn.de
trn:manufacturer:black-star,Black Star,Black Star S.r.l.,ACTIVE,IT,https://www.blackstardistribution.it
trn:manufacturer:brawa,Brawa,Brawa Artur Braun Modellspielwarenfabrik GmbH & Co. KG,ACTIVE,DE,https://www.brawa.de
trn:manufacturer:broadway-limited-imports,Broadway Limited Imports,Broadway Limited Imports LLC,ACTIVE,US,https://www.broadway-limited.com
trn:manufacturer:dapol,Dapol,Dapol Ltd,ACTIVE,GB,https://www.dapol.co.uk
trn:manufacturer:dekas,Dekas,Dekas ApS,ACTIVE,DK,https://dekas.dk
trn:manufacturer:electrotren,Electrotren,Electrotren S.A.,ACTIVE,ES,https://www.electrotren.com
trn:manufacturer:esu,ESU,ESU electronic solutions ulm GmbH & Co. KG,ACTIVE,DE,https://www.esu.eu
trn:manufacturer:exact-trains,Exact Trains,Exact-train B.V.,ACTIVE,NL,https://www.exact-train.com
