id,name,registered_company_name,country_code,status,operating_since,operating_until
trn:railway-company:bdz,BDZ,Balgarski darzhavni zheleznitsi,BG,ACTIVE,1888-01-01,
trn:railway-company:br,BR,British Railways,GB,INACTIVE,1948-01-01,1997-03-31
trn:railway-company:cd,ČD,České dráhy,CZ,ACTIVE,1993-01-01,
trn:railway-company:cfr,CFR,Compania Națională de Căi Ferate CFR SA,RO,ACTIVE,1880-04-01,
trn:railway-company:csd,ČSD,Československé státní dráhy,CZ,INACTIVE,1918-10-28,1992-12-31
trn:railway-company:db-cargo-it,DB Cargo IT,DB Cargo Italia S.r.l.,IT,ACTIVE,2003-01-01,
trn:railway-company:db-cargo,DB Cargo,DB Cargo AG,DE,ACTIVE,1999-01-01,
trn:railway-company:db,DB,Deutsche Bahn AG,DE,ACTIVE,1994-01-01,
trn:railway-company:dr,DR,Deutsche Reichsbahn,DD,MERGED,1949-04-01,1993-12-31
trn:railway-company:drg,DRG,Deutsche Reichsbahn-Gesellschaft,DE,MERGED,1920-04-01,1945-05-23
trn:railway-company:dsb,DSB,Danske Statsbaner,DK,ACTIVE,1885-01-01,
trn:railway-company:fnm,FNM,Ferrovie Nord Milano S.p.A.,IT,ACTIVE,1879-01-01,
trn:railway-company:fs,FS,Ferrovie dello Stato Italiane S.p.A.,IT,ACTIVE,1905-07-01,
trn:railway-company:gtc,GTC,GTC S.r.l.,IT,ACTIVE,2004-01-01,
trn:railway-company:gwr,GWR,Great Western Railway,GB,MERGED,1835-08-31,1947-12-31
trn:railway-company:lms,LMS,London, Midland and Scottish Railway,GB,MERGED,1923-01-01,1947-12-31
trn:railway-company:lner,LNER,London and North Eastern Railway,GB,MERGED,1923-01-01,1947-12-31
trn:railway-company:mav,MÁV,Magyar Államvasutak,HU,ACTIVE,1868-07-01,
trn:railway-company:mercitalia,Mercitalia,Mercitalia Rail S.r.l.,IT,ACTIVE,2017-01-01,
trn:railway-company:network-rail,Network Rail,Network Rail Limited,GB,ACTIVE,2002-10-03,
trn:railway-company:nmbs-sncb,NMBS/SNCB,Nationale Maatschappij der Belgische Spoorwegen,BE,ACTIVE,1926-07-23,
trn:railway-company:nsb,NSB,Norges Statsbaner,NO,MERGED,1883-03-01,2019-03-22
trn:railway-company:obb,ÖBB,Österreichische Bundesbahnen,AT,ACTIVE,1923-07-19,
trn:railway-company:oceanogate,Oceanogate,Oceanogate Italia S.r.l.,IT,ACTIVE,2004-01-01,
trn:railway-company:pkp,PKP,Polskie Koleje Państwowe,PL,ACTIVE,1918-11-01,
trn:railway-company:privat,Privat,Generic Private Operator,DE,ACTIVE,2000-01-01,
trn:railway-company:renfe,RENFE,Red Nacional de los Ferrocarriles Españoles,ES,ACTIVE,1941-01-24,
trn:railway-company:rhb,RhB,Rhätische Bahn AG,CH,ACTIVE,1888-02-07,
trn:railway-company:rtc,RTC,Rail Traction Company S.p.A.,IT,ACTIVE,2000-01-01,
trn:railway-company:sangritana,Sangritana,Fondazione Ferrovie della Sangritana,IT,ACTIVE,1922-01-01,
trn:railway-company:sbb-cargo,SBB Cargo,SBB Cargo AG,CH,ACTIVE,1999-01-01,
trn:railway-company:sbb-cff-ffs,SBB CFF FFS,Schweizerische Bundesbahnen,CH,ACTIVE,1902-01-01,
trn:railway-company:sj,SJ,Statens Järnvägar,SE,ACTIVE,1856-12-01,
trn:railway-company:sncf,SNCF,Société Nationale des Chemins de fer Français,FR,ACTIVE,1938-01-01,
trn:railway-company:sr,SR,Southern Railway,GB,MERGED,1923-01-01,1947-12-31
trn:railway-company:trenord,Trenord,Trenord S.r.l.,IT,ACTIVE,2011-01-01,
trn:railway-company:vr,VR,VR-Yhtymä Oyj,FI,ACTIVE,1862-03-17,
trn:railway-company:vy,Vy,Vygruppen AS,NO,ACTIVE,2019-03-22,
trn:railway-company:zssk,ZSSK,Železničná spoločnosť Slovensko,SK,ACTIVE,2005-01-01,
