id,name,type,email,phone,website_url,street_address,city,region,postal_code,country_code
trn:seller:2t-modellismo,2T Modellismo,SHOP,,+39 074 221118,,"Via Vasari, 13 padiglione D",Foligno,PG,06034,IT
trn:seller:a-rigon-modellismo,A. Rigon Modellismo,SHOP,,+39 0444 543315,,Corso Padova 36,Vicenza,VI,36100,IT
trn:seller:action-models,Action Models,SHOP,,+39 0321 391367,https://www.actionshop.it,Via Marsala 13/a,Novara,NO,28100,IT
trn:seller:ago-model,AGO Model,SHOP,,+39 051 467627,https://www.agomodel.it,"Via Roma, 16/18",S. Lazzaro di Savena,,40068,IT
trn:seller:aimx-hkcom,Aimx-hkcom,SHOP,,,https://aimx-hk.com,Online Store,Online,,,IT
trn:seller:arte-del-treno,Arte del Treno,SHOP,,+39 377 2372821,https://www.artedeltreno.com,"Via Sicilia, 2",Isernia,,86170,IT
trn:seller:big-models,Big Models,SHOP,,+39 06 72673332,https://www.ingrossomodellismo.it,"Via P. V. Aldini, 41",Roma,,00178,IT
trn:seller:big-shop-modelltreno,Big Shop Modelltreno,SHOP,,+39 045 591834,,"Piazza San Zeno, 8",Verona,,37123,IT
trn:seller:bitmodel,BitModel,SHOP,,+39 348 3846701,https://www.bitmodel.it,"Via Luigi Settembrini, 32b",Marigliano,NA,80034,IT
trn:seller:bonsaglio,Bonsaglio,SHOP,,+39 0362 221081,https://www.bonsaglionline.it,Viale della Repubblica 200,Seregno,MB,20831,IT
trn:seller:buchhandlung-und-antiquariat-dermauritz,Buchhandlung und Antiquariat DerMauritz,SHOP,,+43 (1) 212 14 32,https://www.dermauritz.at,"Novaragasse, 44/Lokal 1",Wien,,A-1020,AT
trn:seller:dreoni,Dreoni,SHOP,,+39 055 216611,https://www.dreoni.it,"Via Cavour, 31/r",Firenze,,50129,IT
trn:seller:duegi-editrice,Duegi Editrice,SHOP,duegi@duegieditrice.it,+39 049 711363,https://www.duegieditrice.it,Via Stazione 10,Abano Terme,PD,35031,IT
trn:seller:effe-model,Effe Model,SHOP,,+39 091 225963,https://www.effemodel.it,"Via Zandonai, 58",Palermo,,90143,IT
trn:seller:essemme,Essemme,SHOP,,+39 02 7384151,https://www.essemmemodel.com,"Via Fiuggi, 2",Milano,MI,20159,IT
trn:seller:fachbuchzentrum-antiquariat-stiletto,FachBuchZentrum & Antiquariat Stiletto,SHOP,,+49 (0) 89 16783432,https://www.bahnbuch.de,"Berlinerstrasse, 7",Schrobenhausen,,D-86529,DE
trn:seller:fermodellismo-gilli,Fermodellismo Gilli,SHOP,,+39 030 5234889,https://www.fermodellismogilli.it,"Via Andrea Trebeschi, 24",Brescia,BS,25124,IT
trn:seller:fora-train,Fora Train,SHOP,,+39 328 1165158,https://www.modellismoferroviario-ecommerce.com,"Via Vittorio Veneto, 35",Borgomanero,NO,28021,IT
trn:seller:happyzoo,happyzoo,SHOP,,,,,,,,
trn:seller:hattons-model-railways,Hattons Model Railways,SHOP,,+44 151 733 3655,https://www.hattons.co.uk,"Unit 17, Montague Road",Widnes,,WA8 8FZ,GB
trn:seller:hobbitalia-2,Hobbitalia 2,SHOP,,+39 055 5535499,https://www.hobbitalia2.it,"Via degli Artisti, 11/D",Firenze,,50132,IT
trn:seller:hobby-center-parma,Hobby Center (Parma),SHOP,,+39 0521 206933,,"Strada Torelli, 1",Parma,,43100,IT
trn:seller:hobby-centro,Hobby Centro,SHOP,,+39 0173 284105,https://www.giocajoue.com,"Via Ognissanti, 26",Alba,CN,12051,IT
trn:seller:il-cucciolo,Il Cucciolo,SHOP,,+39 02 315667,,"Via Solari, 19",Milano,MI,20149,IT
trn:seller:il-modellismo,Il Modellismo,SHOP,,+39 045 8003505,,Stradone Scipione Maffei 11,Verona,VR,37121,IT
